,"(1, 0.0)","(1, 0.25)","(1, 0.5)","(1, 0.75)","(1, 1.0)"
qp09de,0,0,0,0,0
qp09df,0,0,0,0,0
qp09dg,0,0,0,0,0
qp09dh,0,0,0,0,0
qp09dj,0,0,0,0,0
qp09dk,0,0,0,0,0
qp09dm,0,0,0,0,0
qp09dn,0,0,0,0,0
qp09dp,0,0,0,0,0
qp09dq,0,0,0,0,0
qp09dr,0,0,0,0,0
qp09ds,0,0,0,0,0
qp09dt,0,0,0,0,0
qp09du,0,0,0,0,0
qp09dv,0,0,0,0,0
qp09dw,0,0,0,0,0
qp09dx,0,0,0,0,0
qp09dy,0,0,0,0,0
qp09dz,0,0,0,0,0
qp09e0,0,0,0,0,0
qp09e1,0,0,0,0,0
qp09e2,0,0,0,0,0
qp09e3,0,0,0,0,0
qp09e4,0,0,0,0,0
qp09e5,0,0,0,0,0
qp09e6,0,0,0,0,0
qp09e7,0,0,0,0,0
qp09e8,0,0,0,0,0
qp09e9,0,0,0,0,0
qp09eb,0,0,0,0,0
qp09ec,0,0,0,0,0
qp09ed,0,0,0,0,0
qp09ee,0,0,0,0,0
qp09ef,0,0,0,0,0
qp09eg,0,0,0,0,0
qp09eh,0,0,0,0,0
qp09ej,0,0,0,0,0
qp09ek,0,0,0,0,0
qp09em,0,0,0,0,0
qp09en,0,0,0,0,0
qp09ep,0,0,0,0,0
qp09eq,0,0,0,0,0
qp09er,0,0,0,0,0
qp09es,0,0,0,0,0
qp09et,0,0,0,0,0
qp09eu,0,0,0,0,0
qp09ev,0,0,0,0,0
qp09ew,0,0,0,0,0
qp09ex,0,0,0,0,0
qp09ey,0,0,0,0,0
qp09ez,0,0,0,0,0
qp09f0,0,0,0,0,0
qp09f1,0,0,0,0,0
qp09f2,0,0,0,0,0
qp09f3,0,0,0,0,0
qp09f4,0,0,0,0,0
qp09f5,0,0,0,0,0
qp09f6,0,0,0,0,0
qp09f7,0,0,0,0,0
qp09f8,0,0,0,0,0
qp09f9,0,0,0,0,0
qp09fb,0,0,0,0,0
qp09fc,0,0,0,0,0
qp09fd,0,0,0,0,0
qp09fe,0,0,0,0,0
qp09ff,0,0,0,0,0
qp09fg,0,0,0,0,0
qp09fh,0,0,0,0,0
qp09fj,0,0,0,0,0
qp09fk,0,0,0,0,0
qp09fm,0,0,0,0,0
qp09fq,0,0,0,0,0
qp09fr,0,0,0,0,0
qp09fs,0,0,0,0,0
qp09ft,0,0,0,0,0
qp09fu,0,0,0,0,0
qp09fv,0,0,0,0,0
qp09fw,0,0,0,0,0
qp09fx,0,0,0,0,0
qp09fy,0,0,0,0,0
qp09fz,0,0,0,0,0
qp09g0,0,0,0,0,0
qp09g1,0,0,0,0,0
qp09g2,0,0,0,0,0
qp09g3,0,0,0,0,0
qp09g4,0,0,0,0,0
qp09g5,0,0,0,0,0
qp09g6,0,0,0,0,0
qp09g7,0,0,0,0,0
qp09g8,0,0,0,0,0
qp09g9,0,0,0,0,0
